Year,Sex,Value
2005,,21.1
2005,Female,24
2005,Male,18.7
2006,,18.7
2006,Female,21.3
2006,Male,16.5
2007,,16.6
2007,Female,19
2007,Male,14.6
2008,,15.8
2008,Female,18
2008,Male,13.8
2009,,15.8
2009,Female,17.9
2009,Male,13.8
2010,,14.6
2010,Female,16.6
2010,Male,12.8
2011,,13.2
2011,Female,15
2011,Male,11.6
2012,,12.5
2012,Female,14.2
2012,Male,11
2013,,11.6
2013,Female,13.2
2013,Male,10.2
2014,,10.6
2014,Female,12
2014,Male,9.3
2015,,9.8
2015,Female,11.1
2015,Male,8.6
2016,,9.8
2016,Female,11.2
2016,Male,8.6
2017,,10
2017,Female,11.4
2017,Male,8.7
